               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0814,            0.028376,                   0,             0.23902,              0.5313,             0.17586,            0.035053,            0.071748,            0.028197,                   0,            0.070229,           0.0033079,           0.0033079
                   1,            0.056498,            0.020753,                   0,              0.3463,             0.85008,             0.37642,             0.12232,            0.046093,            0.016998,                   0,            0.040098,           0.0065097,           0.0065097
                   2,            0.046884,            0.018195,                   0,             0.62175,             0.91516,             0.66746,             0.26285,            0.042245,            0.014031,                   0,            0.009834,           0.0095796,           0.0095796
                   3,            0.042937,            0.016511,                   0,             0.93373,             0.93904,             0.97608,             0.48348,            0.036436,            0.012522,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.034469,            0.015128,                   0,             0.98696,             0.96458,             0.98796,             0.60243,            0.029658,            0.010914,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.033452,            0.013717,                   0,              0.9805,             0.97776,             0.98869,             0.65078,            0.026293,            0.010406,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.031225,            0.013417,                   0,             0.97459,             0.98188,             0.98499,             0.61363,            0.027307,            0.011167,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.029963,            0.012794,                   0,             0.98353,             0.98387,             0.98971,             0.64366,            0.024926,           0.0095944,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.028745,            0.012237,                   0,             0.98605,             0.98951,              0.9892,             0.65283,            0.023406,           0.0092896,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.026678,            0.011867,                   0,             0.97185,             0.99671,             0.98822,              0.6878,            0.020929,           0.0095737,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.028214,            0.012098,                   0,             0.98261,             0.99423,             0.98941,             0.68573,            0.020977,           0.0089446,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.025056,            0.011412,                   0,             0.97952,             0.99012,             0.98873,             0.69174,            0.021576,           0.0091126,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.023738,            0.011299,                   0,             0.98128,             0.99287,             0.98664,             0.70395,            0.020058,            0.008989,                   0,            0.007822,            0.007822,            0.007822
